City Code,Province Code,Country Code,City Name,Province Name,Country Name
MARPU,AP,IN,Markapur,Andhra Pradesh,India
MRANI,AS,IN,Mariani,Assam,India
MRIHU,UP,IN,Mariahu,Uttar Pradesh,India
MAHUR,BR,IN,Marhaura,Bihar,India
MRGHI,AR,IN,Margherita,Arunachal Pradesh,India
MRKNA,TN,IN,Marakkanam,Tamil Nadu,India
MARRA,UP,IN,Marahra,Uttar Pradesh,India
MPUCA,GA,IN,Mapusa,Goa,India
GARLA,AP,IN,Garla,Andhra Pradesh,India
MANVI,KA,IN,Manvi,Karnataka,India
MANTH,AP,IN,Manthani,Andhra Pradesh,India
MANSA,PB,IN,Mansa,Punjab,India
MANSA,GJ,IN,Mansa,Gujarat,India
MAORU,RJ,IN,Manoharpur,Rajasthan,India
MAGDI,TN,IN,Mannargudi,Tamil Nadu,India
MARKT,KL,IN,Mannarkkad,Kerala,India
MANMA,MH,IN,Manmad,Maharashtra,India
MAKCH,ML,IN,Mahendraganj,Meghalaya,India
MAJGO,MH,IN,Majalgaon,Maharashtra,India
MJHNR,UP,IN,Manjhanpur,Uttar Pradesh,India
MANJR,KL,IN,Manjeri,Kerala,India
MAHRI,BR,IN,Manihari,Bihar,India
MNIAR,UP,IN,Maniar,Uttar Pradesh,India
MANRP,MH,IN,Mangrulpir,Maharashtra,India
MANGR,RJ,IN,Mangrol,Rajasthan,India
MNGRL,GJ,IN,Mangrol,Gujarat,India
MAGLR,UP,IN,Manglaur,Uttar Pradesh,India
MANGL,KA,IN,Mangaluru,Karnataka,India
MANGO,AS,IN,Mangaldoi,Assam,India
MAGLI,AP,IN,Mangalagiri,Andhra Pradesh,India
MANDY,KA,IN,Mandya,Karnataka,India
MANVI,GJ,IN,Mandvi,Gujarat,India
MANDS,MP,IN,Mandsaur,Madhya Pradesh,India
MNDLA,MP,IN,Mandla,Madhya Pradesh,India
MANDI,HP,IN,Mandi,Himachal Pradesh,India
MANDW,UP,IN,Mandawar,Uttar Pradesh,India
MNDPT,AP,IN,Mandapeta,Andhra Pradesh,India
MANDP,TN,IN,Mandapam,Tamil Nadu,India
MANDR,RJ,IN,Mandalgarh,Rajasthan,India
MAERL,TG,IN,Mancherial,Telangana,India
MNAWR,MP,IN,Manawar,Madhya Pradesh,India
MAVDR,GJ,IN,Manavadar,Gujarat,India
MAASA,MP,IN,Manasa,Madhya Pradesh,India
MANRI,TN,IN,Manapparai,Tamil Nadu,India
MANUI,TN,IN,Manamadurai,Tamil Nadu,India
MALVN,MH,IN,Malvan,Maharashtra,India
MALUR,KA,IN,Malur,Karnataka,India
MALUR,RJ,IN,Malpura,Rajasthan,India
MLADR,TN,IN,Mallasamudram,Tamil Nadu,India
MALUR,MH,IN,Malkapur,Maharashtra,India
MLKAN,CT,IN,Malkangiri,Chhattisgarh,India
MALIH,UP,IN,Malihabad,Uttar Pradesh,India
MARTL,PB,IN,Malerkotla,Punjab,India
MALEN,MH,IN,Malegaon,Maharashtra,India
MVALI,KA,IN,Malavalli,Karnataka,India
MALUT,PB,IN,Maloudh,Punjab,India
MLAPU,KL,IN,Malappuram,Kerala,India
MAKUM,AS,IN,Makum,Assam,India
MAKSI,MP,IN,Maksi,Madhya Pradesh,India
MAKRN,RJ,IN,Makrana,Rajasthan,India
MIRWA,BR,IN,Mairwa,Bihar,India
MAINU,UP,IN,Mainpuri,Uttar Pradesh,India
MANGU,WB,IN,Mainaguri,West Bengal,India
MAIHR,MP,IN,Maihar,Madhya Pradesh,India
MAHWA,RJ,IN,Mahwah,Rajasthan,India
MHUDA,GJ,IN,Mahudha,Gujarat,India
MAHOL,UP,IN,Maholi,Uttar Pradesh,India
MAHOB,UP,IN,Mahoba,Uttar Pradesh,India
MAHUB,UP,IN,Mahmudabad,Uttar Pradesh,India
MAHIS,WB,IN,Mahishadal,West Bengal,India
MSHWR,MP,IN,Maheshwar,Madhya Pradesh,India
MAHDR,HR,IN,Mahendragarh,Haryana,India
MAHED,GJ,IN,Mahemdavad,Gujarat,India
KOTAD,AP,IN,Kotananduru,Andhra Pradesh,India
MAHUB,TG,IN,Mahabubabad,Telangana,India
MHASN,CT,IN,Mahasamund,Chhattisgarh,India
MHRGJ,UP,IN,Maharajganj,Uttar Pradesh,India
MAHNJ,BR,IN,Maharajganj,Bihar,India
MAHAM,HR,IN,Maham,Haryana,India
MAHNR,KA,IN,Mahalingpur,Karnataka,India
MAHAD,MH,IN,Mahad,Maharashtra,India
MAGHR,UP,IN,Maghar,Uttar Pradesh,India
MAGDI,KA,IN,Magadi,Karnataka,India
MDURI,TN,IN,Madurai,Tamil Nadu,India
MADUK,TN,IN,Madukkur,Tamil Nadu,India
CENAI,TN,IN,Chennai,Tamil Nadu,India
MAIER,KA,IN,Madikeri,Karnataka,India
MDHYR,WB,IN,Madhyamgram,West Bengal,India
MADPR,JH,IN,Madhupur,Jharkhand,India
MADUG,KA,IN,Madhugiri,Karnataka,India
MDHUB,BR,IN,Madhubani,Bihar,India
